"","question","scenario","rating","recall","realrate","know","num_uid","physical","document","witness","character"
"2142",2,1,75,74,92,74,71,"clear_ex","clear_in","ambiguous","clear_ex"
"2143",3,6,100,86,100,67,71,"clear_in","none","clear_in","clear_ex"
"2144",4,30,73,42,75,46,71,"clear_in","none","none","none"
"2145",5,19,100,52,84,46,71,"ambiguous","clear_in","clear_in","clear_ex"
"2146",6,28,74,44,89,53,71,"clear_in","ambiguous","ambiguous","none"
"2147",7,7,57,47,80,48,71,"none","ambiguous","clear_in","clear_ex"
"2148",8,3,74,46,95,52,71,"clear_in","ambiguous","none","clear_ex"
"2149",9,23,48,56,92,55,71,"clear_in","clear_ex","ambiguous","none"
"2150",10,22,85,50,84,47,71,"clear_in","none","ambiguous","none"
"2151",11,24,99,52,57,41,71,"ambiguous","clear_in","clear_in","clear_in"
"2152",12,2,91,49,76,46,71,"clear_in","ambiguous","clear_in","clear_ex"
"2153",13,5,47,51,85,51,71,"ambiguous","clear_ex","clear_in","clear_ex"
"2154",14,13,87,52,82,47,71,"clear_ex","ambiguous","clear_in","clear_in"
"2155",15,11,49,56,74,55,71,"clear_ex","clear_in","clear_in","none"
"2156",16,12,74,51,82,48,71,"ambiguous","ambiguous","clear_in","clear_in"
"2157",17,25,49,51,81,48,71,"clear_in","clear_ex","none","none"
"2158",18,31,99,52,83,45,71,"none","none","clear_in","clear_in"
"2159",19,21,83,53,86,50,71,"clear_in","none","ambiguous","clear_in"
"2160",20,16,95,50,93,44,71,"clear_in","none","none","clear_in"
"2161",21,8,51,50,90,48,71,"clear_in","ambiguous","clear_ex","none"
"2162",22,14,54,48,87,52,71,"ambiguous","clear_in","ambiguous","clear_in"
"2163",23,10,59,53,78,44,71,"clear_ex","clear_in","clear_in","clear_ex"
"2164",24,9,49,53,59,43,71,"clear_ex","ambiguous","clear_in","none"
"2165",25,26,63,48,58,48,71,"ambiguous","none","clear_in","clear_ex"
"2166",26,20,62,48,60,43,71,"ambiguous","clear_in","clear_in","none"
"2167",27,17,59,58,48,54,71,"clear_ex","clear_ex","clear_in","clear_in"
"2168",28,4,54,53,59,49,71,"clear_in","none","clear_in","clear_in"
"2169",29,15,63,52,58,42,71,"clear_in","clear_ex","clear_in","none"
"2170",30,29,56,54,50,49,71,"clear_ex","clear_in","none","none"
"2171",0,19,0,53,80,73,72,"none","none","clear_in","none"
"2172",1,25,83,100,100,64,72,"clear_in","none","ambiguous","clear_ex"
"2173",2,23,92,96,97,63,72,"clear_ex","clear_in","clear_in","clear_in"
"2174",3,8,63,56,69,51,72,"clear_in","clear_ex","none","clear_in"
"2175",4,30,74,68,83,57,72,"clear_in","clear_ex","ambiguous","none"
"2176",5,9,61,52,77,65,72,"none","clear_in","clear_ex","clear_in"
"2177",6,14,85,67,86,67,72,"ambiguous","clear_in","clear_in","clear_ex"
"2178",7,12,89,82,94,71,72,"ambiguous","ambiguous","clear_in","none"
"2179",8,17,97,93,97,89,72,"clear_in","none","clear_in","none"
"2180",9,7,86,71,98,73,72,"ambiguous","clear_ex","clear_in","clear_in"
"2181",10,5,75,75,70,74,72,"ambiguous","clear_in","none","none"
"2182",11,28,63,59,96,72,72,"none","clear_ex","clear_in","clear_in"
"2183",12,3,72,70,97,78,72,"clear_ex","clear_in","none","clear_in"
"2184",13,6,82,81,75,73,72,"ambiguous","clear_in","clear_ex","none"
"2185",14,1,91,86,97,81,72,"clear_ex","clear_in","none","none"
"2186",15,22,82,77,85,80,72,"clear_ex","clear_in","ambiguous","clear_in"
"2187",16,27,97,97,98,96,72,"clear_in","none","ambiguous","none"
"2188",17,4,70,78,78,74,72,"clear_in","none","none","clear_ex"
"2189",18,21,68,58,98,73,72,"clear_in","none","clear_ex","clear_in"
"2190",19,24,97,83,97,99,72,"ambiguous","clear_in","clear_in","clear_in"
"2191",20,10,77,64,71,69,72,"clear_ex","clear_in","clear_in","clear_ex"
"2192",21,18,94,94,99,94,72,"clear_in","ambiguous","clear_in","clear_ex"
"2193",22,13,98,99,98,98,72,"clear_in","ambiguous","clear_ex","clear_ex"
"2194",23,20,94,86,77,84,72,"clear_in","ambiguous","ambiguous","clear_ex"
"2195",24,15,70,73,100,79,72,"clear_in","ambiguous","clear_ex","clear_in"
"2196",25,11,100,98,100,82,72,"clear_in","clear_in","ambiguous","none"
"2197",26,2,98,97,100,69,72,"none","clear_in","ambiguous","clear_ex"
"2198",27,26,89,86,79,70,72,"clear_in","clear_ex","clear_in","clear_in"
"2199",28,29,94,95,97,95,72,"clear_in","clear_in","clear_in","none"
"2200",29,16,85,78,83,78,72,"ambiguous","clear_ex","clear_in","none"
"2201",30,31,97,97,96,83,72,"clear_in","ambiguous","none","clear_in"
"2202",0,15,19,12,62,20,73,"clear_ex","clear_in","none","none"
"2203",1,25,76,45,57,27,73,"clear_in","none","ambiguous","none"
"2204",2,13,92,50,74,15,73,"clear_in","ambiguous","ambiguous","clear_in"
"2205",3,11,33,8,54,10,73,"ambiguous","clear_in","clear_in","clear_ex"
"2206",4,21,46,32,29,9,73,"ambiguous","none","clear_in","clear_ex"
"2207",5,14,64,18,59,7,73,"none","clear_in","clear_ex","clear_in"
"2208",6,6,34,60,77,35,73,"clear_ex","ambiguous","clear_in","clear_in"
"2209",7,7,87,21,76,5,73,"none","clear_in","none","clear_ex"
"2210",8,17,87,28,61,8,73,"clear_in","clear_in","none","clear_in"
"2211",9,4,23,11,17,4,73,"ambiguous","ambiguous","clear_in","clear_in"
"2212",10,22,69,16,11,15,73,"clear_in","clear_ex","clear_in","clear_ex"
"2213",11,30,50,56,63,22,73,"clear_ex","none","clear_in","clear_in"
"2214",12,26,81,16,18,7,73,"clear_in","clear_in","clear_in","clear_ex"
"2215",13,28,64,14,52,12,73,"clear_in","none","ambiguous","clear_ex"
"2216",14,23,92,12,43,16,73,"clear_in","clear_in","clear_in","none"
"2217",15,1,11,44,49,26,73,"clear_ex","clear_in","clear_ex","clear_in"
"2218",16,3,67,11,24,11,73,"none","clear_in","none","none"
"2219",17,9,70,17,32,10,73,"clear_in","ambiguous","clear_in","clear_in"
"2220",18,5,83,14,49,7,73,"ambiguous","clear_in","clear_ex","clear_ex"
"2221",19,27,63,32,88,10,73,"ambiguous","none","clear_in","clear_in"
"2222",20,19,14,26,80,9,73,"clear_in","clear_ex","ambiguous","clear_in"
"2223",21,2,75,27,65,12,73,"clear_in","ambiguous","clear_in","none"
"2224",22,18,19,12,74,6,73,"clear_ex","ambiguous","clear_in","clear_ex"
"2225",23,20,75,20,70,11,73,"clear_in","clear_in","ambiguous","clear_in"
"2226",24,31,93,91,90,13,73,"clear_ex","clear_in","ambiguous","none"
"2227",25,16,16,10,58,10,73,"clear_in","ambiguous","none","clear_in"
"2228",26,12,8,9,51,5,73,"clear_in","clear_in","clear_ex","clear_ex"
"2229",27,8,69,16,47,8,73,"clear_in","ambiguous","clear_ex","clear_in"
"2230",28,24,45,11,89,7,73,"clear_in","clear_ex","clear_in","clear_in"
"2231",29,10,9,16,27,10,73,"ambiguous","clear_in","ambiguous","clear_ex"
"2232",30,29,84,61,51,17,73,"clear_in","none","ambiguous","clear_in"
"2233",0,18,96,8,11,5,74,"clear_in","ambiguous","ambiguous","clear_ex"
"2234",1,15,96,86,82,43,74,"clear_in","none","clear_in","clear_in"
"2235",2,13,93,95,89,38,74,"clear_in","clear_in","ambiguous","clear_in"
"2236",3,28,96,85,92,22,74,"ambiguous","clear_in","clear_ex","none"
"2237",4,16,2,57,74,10,74,"ambiguous","clear_ex","clear_in","clear_ex"
"2238",5,20,97,37,92,66,74,"clear_in","clear_in","clear_in","clear_ex"
"2239",6,7,91,57,75,70,74,"clear_in","ambiguous","none","clear_in"
"2240",7,9,3,92,50,53,74,"ambiguous","clear_ex","clear_in","none"
"2241",8,30,92,85,62,59,74,"none","none","clear_in","clear_ex"
"2242",9,5,0,85,56,70,74,"clear_in","clear_in","clear_ex","clear_in"
"2243",10,2,91,79,65,56,74,"clear_ex","clear_in","ambiguous","clear_in"
"2244",11,19,87,55,69,64,74,"clear_in","clear_ex","clear_in","none"
"2245",12,21,94,64,76,69,74,"clear_in","clear_in","clear_ex","none"
"2246",13,29,97,92,73,66,74,"clear_ex","clear_in","none","none"
"2247",14,8,96,80,69,80,74,"clear_in","clear_ex","clear_ex","clear_in"
"2248",15,24,0,81,60,38,74,"clear_in","none","none","none"
"2249",16,17,93,71,72,70,74,"clear_in","clear_ex","ambiguous","clear_in"
"2250",17,10,93,77,69,71,74,"clear_ex","ambiguous","clear_in","clear_in"
"2251",18,6,98,72,71,70,74,"clear_ex","none","clear_in","none"
"2252",19,11,0,91,80,51,74,"clear_in","ambiguous","ambiguous","none"
"2253",20,26,0,43,80,1,74,"clear_in","none","none","clear_in"
"2254",21,25,76,49,84,72,74,"ambiguous","clear_in","clear_in","clear_in"
"2255",22,4,60,74,65,48,74,"ambiguous","clear_in","ambiguous","clear_in"
"2256",23,1,16,15,56,41,74,"clear_in","ambiguous","none","clear_ex"
"2257",24,23,1,24,91,41,74,"clear_in","none","ambiguous","clear_ex"
"2258",25,27,78,79,67,54,74,"ambiguous","clear_in","clear_in","none"
"2259",26,12,14,24,24,18,74,"none","clear_in","clear_in","clear_ex"
"2260",27,14,70,72,52,36,74,"ambiguous","clear_in","none","none"
"2261",28,31,82,85,85,79,74,"clear_in","none","none","clear_ex"
"2262",29,22,84,61,95,54,74,"clear_ex","clear_in","none","clear_in"
"2263",30,3,5,37,90,74,74,"none","clear_in","ambiguous","none"
"2264",0,25,2,26,91,14,75,"clear_ex","ambiguous","clear_in","none"
"2265",1,19,99,67,93,93,75,"none","none","clear_in","clear_in"
"2266",2,27,0,96,99,99,75,"clear_in","ambiguous","clear_ex","clear_ex"
"2267",3,20,17,50,97,78,75,"none","clear_ex","clear_in","clear_in"
"2268",4,6,48,4,97,99,75,"none","none","clear_in","clear_ex"
"2269",5,21,29,99,100,100,75,"ambiguous","clear_in","none","clear_in"
"2270",6,22,49,6,99,2,75,"clear_ex","clear_in","clear_ex","clear_in"
"2271",7,15,97,7,96,3,75,"clear_in","clear_in","clear_in","clear_ex"
"2272",8,4,75,2,48,6,75,"clear_in","ambiguous","ambiguous","none"
"2273",9,7,99,99,99,60,75,"clear_in","ambiguous","clear_in","none"
"2274",10,14,55,2,93,9,75,"ambiguous","clear_in","ambiguous","clear_ex"
"2275",11,28,73,96,94,95,75,"ambiguous","clear_in","none","none"
"2276",12,16,30,5,99,2,75,"clear_in","ambiguous","none","clear_ex"
"2277",13,11,98,4,98,3,75,"clear_in","clear_ex","clear_in","clear_in"
"2278",14,2,99,99,98,96,75,"none","clear_in","clear_in","clear_in"
"2279",15,10,7,6,98,4,75,"clear_in","clear_in","none","none"
"2280",16,8,98,5,95,4,75,"clear_in","none","ambiguous","clear_in"
